b,x,x,b,b,o,x,o,o,jogando
b,b,x,x,b,o,o,x,o,jogando
b,b,x,x,b,o,o,o,x,jogando
b,b,x,b,b,o,o,b,b,jogando
b,b,x,b,b,o,b,o,b,jogando
x,b,x,b,b,o,b,b,o,jogando
b,b,x,b,b,b,o,o,b,jogando
b,b,x,b,b,b,b,o,o,jogando
b,b,x,b,b,o,o,b,o,jogando
b,b,x,b,b,o,b,o,o,jogando
b,b,x,b,b,o,x,o,o,jogando
b,b,x,b,b,o,o,x,o,jogando
b,b,x,b,b,o,o,o,x,jogando
b,b,x,b,b,o,o,b,b,jogando
b,x,x,b,b,o,b,o,b,jogando
b,b,x,b,b,o,b,b,o,jogando
b,b,x,b,b,b,o,o,b,jogando
b,b,x,b,b,b,b,o,o,jogando
b,x,x,b,b,x,x,o,o,jogando
b,b,x,b,b,x,o,x,o,jogando
x,b,x,b,o,x,o,b,b,jogando
b,b,x,b,b,x,b,o,b,jogando
b,x,x,o,b,x,b,b,o,jogando
b,b,x,b,b,b,x,o,b,jogando
b,b,x,b,b,b,o,x,b,jogando
b,b,x,b,b,b,o,b,x,jogando
b,b,x,b,b,b,b,x,o,jogando
b,b,x,b,b,b,b,o,x,jogando
b,b,x,o,o,b,b,b,b,jogando
b,b,x,b,b,x,o,o,b,jogando
b,b,x,b,b,x,o,b,o,jogando
x,b,x,b,b,x,b,o,o,jogando
b,b,x,b,b,o,x,b,o,jogando
x,b,x,b,b,o,o,x,b,jogando
b,x,x,b,b,o,o,b,x,jogando
b,b,x,b,b,o,b,o,x,jogando
b,b,x,b,b,o,b,b,b,jogando
x,b,x,b,b,b,o,o,x,jogando
b,b,x,b,b,b,o,b,b,jogando
b,b,x,b,b,b,b,o,b,jogando
b,b,x,b,b,b,b,b,o,jogando
b,b,x,b,b,o,o,o,b,jogando
b,x,x,b,b,o,o,b,o,jogando
b,x,x,b,x,o,b,o,o,jogando
b,b,x,b,b,x,o,o,b,jogando
b,b,x,b,b,x,b,o,o,jogando
b,b,x,b,b,o,x,o,b,jogando
b,b,x,b,b,o,x,b,o,jogando
b,b,x,b,b,o,o,x,b,jogando
b,b,x,b,b,o,o,b,x,jogando
b,b,x,b,b,o,b,x,o,jogando
b,x,x,b,o,o,b,o,x,jogando
b,b,x,b,b,o,b,b,b,jogando
b,b,x,b,b,b,x,o,o,jogando
x,b,x,b,b,b,o,x,o,jogando
b,b,x,b,b,b,o,o,x,jogando
b,b,x,b,b,b,o,b,b,jogando
b,x,x,b,b,b,b,b,o,jogando
b,b,x,b,b,o,o,x,o,jogando
b,b,x,b,b,o,o,o,x,jogando
b,b,x,b,b,o,b,o,b,jogando
x,b,x,b,b,o,b,b,o,jogando
b,b,x,b,b,b,o,b,o,jogando
b,b,x,b,b,b,b,o,o,jogando
b,b,o,b,b,o,o,o,x,jogando
b,x,o,b,b,x,x,o,o,jogando
b,b,o,b,b,o,x,o,x,jogando
b,b,o,b,b,o,x,b,b,jogando
b,b,o,b,b,b,x,o,b,jogando
b,b,o,b,o,b,x,b,o,jogando
b,x,o,b,b,o,x,o,b,jogando
x,b,o,o,b,x,o,x,o,jogando
x,b,o,b,b,x,o,o,x,jogando
b,b,o,b,b,o,x,o,x,jogando
b,b,o,b,b,o,o,x,x,jogando
b,b,o,b,b,o,b,b,x,jogando
b,b,o,b,b,b,o,x,b,jogando
b,x,o,b,b,b,o,b,x,jogando
b,b,o,b,b,b,b,x,o,jogando
b,b,o,b,b,b,b,o,x,jogando
b,x,o,b,b,o,o,b,x,jogando
b,b,o,b,b,o,b,o,x,jogando
b,b,o,b,b,b,o,o,x,jogando
b,b,b,b,b,o,x,o,b,jogando
b,b,b,b,o,o,x,b,o,jogando
b,b,b,x,o,b,x,o,o,jogando
b,b,b,o,x,o,o,x,b,jogando
